Number of patients,Year of research,Place of research,Number of linked references,Time period of research,Funded or not funded,Number of authors,Peer review
123,2021.0,"Tertiary Care Clinic for Ear, Nose, and Throat Diseases and Department of Laboratory Diagnostics",0,Unknown,False,8,yes
123,2021.0,"Zagreb, Croatia",41,unspecified,False,4,yes
1220,2022.0,"Tlemcen, Algeria",0,March 2017 to March 2019,False,7,yes
131,2021.0,Italy,0,unspecified,False,17,yes
0,2023.0,Italy,38,Not mentioned,False,7,yes
0,2023.0,Not mentioned,15,unspecified,False,8,yes
0,,,16,2000-2022,False,6,yes
37,,Italy,22,2014-2023,True,10,yes
35,2024.0,"Beijing, China",15,unspecified,False,3,yes
0,,,58,Unknown,False,13,yes
0,,,0,Unknown,False,7,yes
83,2024.0,"Chongqing University Cancer Hospital, China",18,February 2016 - February 2022,False,7,yes
0,2024.0,"Shenyang, China",29,Unknown,False,8,yes
