Number of patients,Year of research,Place of research,Number of linked references,Time period of research,Funded or not funded,Number of authors,Peer review
1,2020.0,,50,Unknown,False,5,yes
60,2020.0,Turkey,19,Unknown,false,2,yes
0,2020.0,"Selçuk University, Turkey",0,Unknown,False,2,yes
60,2020.0,Turkey,18,"April 15, 2015 - September 15, 2016",False,3,yes
0,2021.0,,18,Unknown,False,1,yes
0,,,28,Unknown,False,9,yes
0,2022.0,"Kermanshah, Iran",18,Not mentioned,False,7,yes
0,2022.0,,8,Unknown,False,8,yes
0,,,42,"January 1989 to August 8, 2022",False,8,yes
0,,,14,Unknown,False,3,yes
0,,,50,Unknown,False,15,yes
0,,,45,Unknown,False,2,yes
247,2023.0,"Istanbul, Turkey",17,"December 25th, 2020 to September 15th, 2021",False,7,yes
263,,"Cagliari, Italy",19,Unknown,False,15,yes
0,2024.0,,103,Unknown,False,4,yes
0,2024.0,Turkey,0,Unknown,False,5,yes
7,2016.0,,50,Unknown,False,5,yes
