Number of patients,Year of research,Place of research,Number of linked references,Time period of research,Funded or not funded,Number of authors,Peer review
0,2012.0,GLOBOCAN 2012,7,Unknown,False,7,yes
0,,,31,Unknown,False,0,yes
0,2012.0,Ecological study - global data,16,Unknown,False,5,yes
0,2018.0,GLOBAL,29,2018,False,5,yes
0,2018.0,Global,0,Unknown,False,10,yes
0,2020.0,India,28,Unknown,False,5,yes
114,,"Montevideo, Uruguay",28,1996-2004,False,7,yes
1292,2021.0,Uruguay,14,Unknown,False,7,yes
0,,,0,Unknown,False,0,yes
0,,,47,2000-2015,False,2,yes
0,,"Malabar Cancer Centre, Kannur, India",14,September to December 2020,False,4,yes
1370,2022.0,"Montevideo, Uruguay",0,1996-2004,False,7,yes
0,2023.0,Iran,14,1990-2019,False,6,yes
0,2019.0,Global,0,Unknown,False,6,yes
50,2023.0,"Kashmir, India",0,2017-2019,False,2,yes
0,2024.0,Asia,0,2010-2019,False,5,yes
0,2023.0,Asia,50,2010-2019,False,5,yes
